feature_x,feature_y,feature_x_group,feature_y_group,value
A220 Centroid,A220 ot2 dB,Centroid,Overtone,0.648600388457294
A220 Centroid,A220 ot3 dB,Centroid,Overtone,0.5579387807436658
A220 Centroid,A220 ot4 dB,Centroid,Overtone,0.35026159968538
A220 Centroid,A220 ot5 dB,Centroid,Overtone,0.3179017584913968
A220 Centroid,A220 ot6 dB,Centroid,Overtone,0.3488787914913057
A220 Centroid,A220 ot7 dB,Centroid,Overtone,0.3939496488382698
A220 Centroid,E330 ot1 dB,Centroid,Overtone,0.1545327081011474
A220 Centroid,E330 ot2 dB,Centroid,Overtone,0.5819881744525401
A220 Centroid,E330 ot3 dB,Centroid,Overtone,0.59827620825682
A220 Centroid,E330 ot4 dB,Centroid,Overtone,0.4678300833406983
A220 Centroid,E330 ot5 dB,Centroid,Overtone,0.5494624067940933
A220 Centroid,E330 ot6 dB,Centroid,Overtone,0.5602106648159273
A220 Centroid,E330 ot7 dB,Centroid,Overtone,0.5903015439082184
A220 Centroid,A440 ot1 dB,Centroid,Overtone,0.3904245147042441
A220 Centroid,A440 ot2 dB,Centroid,Overtone,0.1195988672388169
A220 Centroid,A440 ot3 dB,Centroid,Overtone,0.2572122049132137
A220 Centroid,A440 ot4 dB,Centroid,Overtone,0.3629480948156222
A220 Centroid,A440 ot5 dB,Centroid,Overtone,0.3809952467424913
A220 Centroid,A440 ot6 dB,Centroid,Overtone,0.4595500209322214
A220 Centroid,A440 ot7 dB,Centroid,Overtone,0.591816544744636
E330 Centroid,E165 ot1 dB,Centroid,Overtone,0.6627628133778909
E330 Centroid,E165 ot2 dB,Centroid,Overtone,0.3030462827148781
E330 Centroid,E165 ot3 dB,Centroid,Overtone,0.5198433799317301
E330 Centroid,E165 ot4 dB,Centroid,Overtone,0.8026457773169704
E330 Centroid,E165 ot5 dB,Centroid,Overtone,0.6837325448204616
E330 Centroid,E165 ot6 dB,Centroid,Overtone,0.6194982558193821
E330 Centroid,E165 ot7 dB,Centroid,Overtone,0.7352689727525712
E330 Centroid,A220 ot1 dB,Centroid,Overtone,0.5063778018265104
E330 Centroid,A220 ot2 dB,Centroid,Overtone,0.7608178513131513
